12-12-22 16:48:43  cannot unpack non-iterable NoneType object  ('cannot unpack non-iterable NoneType object',)  function: get_machines_names
13-12-22 12:23:44  HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001983EC54040>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))  (MaxRetryError("HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001983EC54040>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"),)  function: get_machines_names
13-12-22 12:23:57  HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001983EC54AF0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))  (MaxRetryError("HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001983EC54AF0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"),)  function: check_app_state
13-12-22 12:23:57  cannot unpack non-iterable NoneType object  ('cannot unpack non-iterable NoneType object',)  function: get_machines_names
13-12-22 12:23:58  HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001983EC66220>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))  (MaxRetryError("HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001983EC66220>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"),)  function: check_app_state
13-12-22 12:23:58  cannot unpack non-iterable NoneType object  ('cannot unpack non-iterable NoneType object',)  function: get_machines_names
13-12-22 12:24:00  HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001983EC66A90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))  (MaxRetryError("HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001983EC66A90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"),)  function: check_app_state
13-12-22 12:24:00  cannot unpack non-iterable NoneType object  ('cannot unpack non-iterable NoneType object',)  function: get_machines_names
13-12-22 12:26:24  HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002B7B528DF40>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))  (MaxRetryError("HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002B7B528DF40>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"),)  function: get_machines_names
13-12-22 12:26:31  HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002B7B54A4A90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))  (MaxRetryError("HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002B7B54A4A90>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"),)  function: check_app_state
13-12-22 12:26:31  cannot unpack non-iterable NoneType object  ('cannot unpack non-iterable NoneType object',)  function: get_machines_names
13-12-22 12:26:32  HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002B7B54B71C0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))  (MaxRetryError("HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002B7B54B71C0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"),)  function: check_app_state
13-12-22 12:26:32  cannot unpack non-iterable NoneType object  ('cannot unpack non-iterable NoneType object',)  function: get_machines_names
13-12-22 15:35:53  HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001EEEEBBEE50>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))  (MaxRetryError("HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001EEEEBBEE50>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"),)  function: get_machines_names
13-12-22 15:37:54  HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001603D074040>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))  (MaxRetryError("HTTPConnectionPool(host='127.0.0.1', port=5000): Max retries exceeded with url: //check (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001603D074040>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))"),)  function: get_machines_names
